Product Name,Price,Original Price,Discount,Rating,Reviews,Features,Page Number
Kechaoda A26,₹899,"₹1,499",40% off,4,"30,888 Ratings & 1,653 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) QVGA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,12
Kechaoda A26,₹899,"₹1,499",40% off,4,"30,888 Ratings & 1,653 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) Display | 800 mAh Battery | 3 Months Company Warranty,12
Jmax MINI,₹777,"₹1,499",48% off,3.7,262 Ratings & 8 Reviews,32 MB RAM | 32 MB ROM | 2.54 cm (1 inch) Display | 1MP Rear Camera | 800 mAh Battery | 1 Year Manufacturer Warranty,12
MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording,"₹1,339","₹1,549",13% off,4,"10,720 Ratings & 684 Reviews",4 MB RAM | 32 MB ROM | Expandable Upto 64 GB | 4.57 cm (1.8 inch) Display | 800 mAh Battery | 2 Years Domestic Replacement Warranty,12
"Samsung Galaxy M17e (Blitz Blue, 128 GB)","₹15,400","₹18,999",18% off,4.1,51 Ratings & 0 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB | 17.02 cm (6.7 inch) Full HD+ Display | 50MP Rear Camera | 2MP Front Camera | 6000 mAh Battery | MediaTek Dimensity Processor | 1-year manufacturer warranty for the device and 6 months for in-box accessories.,12
"MOTOROLA Signature (PANTONE Carbon, 1 TB)","₹67,499","₹84,999",20% off,4.4,484 Ratings & 82 Reviews,16 GB RAM | 1 TB ROM | 17.27 cm (6.8 inch) Super HD Display | 50MP + 50MP + 50MP | 50MP Front Camera | 5200 mAh Battery | Snapdragon 8 Gen 5 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,12
"Nokia 220 4G Dual SIM Keypad Phone, Built-in UPI App, USB Type C","₹3,689","₹4,499",18% off,4,"1,688 Ratings & 98 Reviews",64 MB RAM | 64 MB ROM | 7.11 cm (2.8 inch) Display | 1450 mAh Battery | 1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,12
Jio PRIMA2 4G,"₹3,390","₹4,199",19% off,3.9,"2,239 Ratings & 122 Reviews",500 MB RAM | 4 GB ROM | Expandable Upto 128 GB | 6.1 cm (2.4 inch) QVGA Display | 0.3MP Rear Camera | 1800 mAh Battery | 1 Year MANUFACTURER WARRANTY,12
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹55,999","₹79,999",30% off,4.6,"57,084 Ratings & 3,711 Reviews",8 GB RAM | 256 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 12MP | 12MP Front Camera | 4000 mAh Battery | 8 Gen 3 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,12
"IQOO Z10 5G (Glacier Silver / Silver, 256 GB)","₹27,261","₹27,999",2% off,4.4,"6,592 Ratings & 333 Reviews",8 GB RAM | 256 GB ROM | 17.2 cm (6.77 inch) Display | 50MP Rear Camera | 7300 mAh Battery | 1 Year,12
"hmd 105 Dual Sim Keypad Phone with Built-in UPI App, Wireless FM Radio","₹1,059","₹1,499",29% off,3.8,"5,174 Ratings & 375 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB | 5.08 cm (2 inch) Display | 1000 mAh Battery | SC6531E Processor | 1 Year Replacement.,12
"REDMI Note 15 SE 5G (Crimson Reserve, 128 GB)","₹21,999","₹25,999",15% off,4.3,463 Ratings & 57 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.2 cm (6.77 inch) Full HD+ AMOLED Display | 50MP Rear Camera | 20MP Front Camera | 5800 mAh Lithium-Ion Polymer Battery | Snapdragon 6 Gen 3 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,12
"Alcatel V3 Ultra 5G (Hyper Blue, 128 GB)","₹21,499","₹29,999",28% off,4.1,256 Ratings & 30 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.22 cm (6.78 inch) Full HD+ Display | 108MP + 8MP + 2MP | 32MP Front Camera | 5010 mAh Battery | Dimensity 6300 Processor | 1 Year Warranty on Handset and 6 Months Warranty on in the Box Accessories,12
"IQOO Z11x 5G (Prismatic Green, 256 GB)","₹27,970","₹33,999",17% off,4.3,573 Ratings & 51 Reviews,8 GB RAM | 256 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,12
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","₹49,999","₹74,999",33% off,4.6,"57,084 Ratings & 3,711 Reviews",8 GB RAM | 128 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 12MP | 12MP Front Camera | 4000 mAh Battery | 8 Gen 3 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,12
"Samsung M36 5G (Black, 256 GB)","₹25,924","₹29,999",13% off,4.1,657 Ratings & 40 Reviews,8 GB RAM | 256 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 5000 mAh Battery | 1 Year Warranty,12
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹16,999",,,4.3,"7,922 Ratings & 460 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 50MP AI Dual Camera | 7000 mAh Battery | Snapdragon 6s Gen 3 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,12
